ID;OID;TYPE;NAME;LEVEL;PATIENT_INFO;SHELF_LIFE;STORAGE_TYPE;EXTENDED_LIFE;UNLIMITED_LIFE;MO_SIGN;FORMAT;START_DATE;END_DATE;IMPLEMENTATION_GUIDE;GIT_LINK;SHOW_PATIENT;IS_ONLINE;DAYS_COUNT;SERIES_REQUIRED
235;235;1;"Эпикриз в стационаре выписной (CDA) Редакция 6";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"29.03.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4585";"1.2.643.5.1.13.13.15.25.6";"Да";"Нет";;"Нет"
236;236;385;"Посмертный эпикриз (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"29.03.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4573";"1.2.643.5.1.13.13.15.93.1";"Нет";"Нет";;"Нет"
242;242;254;"Протокол патолого-анатомического вскрытия (CDA) Редакция 2";3;"Не обязательны";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"04.04.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4587";"1.2.643.5.1.13.13.15.22.2";"Нет";"Нет";;"Нет"
243;243;458;"Протокол патолого-анатомического вскрытия плода, мертворожденного или новорожденного (CDA) Редакция 1";3;"Не обязательны";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"04.04.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4589";"1.2.643.5.1.13.13.15.108.1";"Нет";"Нет";;"Нет"
98;98;346;"Направление на госпитализацию для оказания специализированной медицинской помощи (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"28.09.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3973";"1.2.643.5.1.13.13.15.34.1";"Нет";"Нет";;"Нет"
17;17;7;"Протокол лабораторного исследования (CDA) Редакция 2";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"16.02.2019";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/2939";"1.2.643.5.1.13.13.15.18.2";"Да";"Нет";;"Нет"
15;15;6;"Протокол инструментального исследования (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"16.02.2019";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3291";"1.2.643.5.1.13.13.15.17.1";"Да";"Нет";;"Нет"
16;16;5;"Протокол консультации (CDA) Редакция 2";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"16.02.2019";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/2937";"1.2.643.5.1.13.13.15.13.2";"Да";"Нет";;"Нет"
41;41;1;"Эпикриз в стационаре выписной (CDA) Редакция 3";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"14.09.2020";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/2943";"1.2.643.5.1.13.13.15.25.3";"Да";"Нет";;"Нет"
68;68;5;"Протокол консультации (CDA) Редакция 3";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"16.04.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3845";"1.2.643.5.1.13.13.15.13.3";"Да";"Нет";;"Нет"
90;90;6;"Протокол инструментального исследования (CDA) Редакция 2";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"30.06.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3923";"1.2.643.5.1.13.13.15.17.2";"Да";"Нет";;"Нет"
95;95;91;"Медицинская справка в бассейн (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"16.04.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3839";"1.2.643.5.1.13.13.15.53.1";"Нет";"Нет";;"Нет"
61;61;37;"Льготный рецепт на лекарственный препарат, изделие медицинского назначения и специализированный продукт лечебного питания (CDA) Редакция 2";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"15.03.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3821";"1.2.643.5.1.13.13.15.1.2";"Да";"Нет";;"Да"
72;72;88;"Справка об отсутствии контактов с инфекционными больными (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"16.04.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3841";"1.2.643.5.1.13.13.15.56.1";"Да";"Нет";;"Нет"
91;91;74;"Карта вызова скорой медицинской помощи (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"30.06.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3925";"1.2.643.5.1.13.13.15.72.1";"Нет";"Нет";;"Нет"
94;94;85;"Протокол консультации в рамках диспансерного наблюдения (CDA) Редакция 3";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"16.04.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3845";"1.2.643.5.1.13.13.15.14.3";"Нет";"Нет";;"Нет"
97;97;241;"Направление на госпитализацию для оказания высокотехнологичной медицинской помощи (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"28.09.2021";"01.08.2024";"https://portal.egisz.rosminzdrav.ru/materials/3973";"1.2.643.5.1.13.13.15.33.1";"Нет";"Нет";;"Нет"
244;244;503;"Сопроводительный лист станции (отделения) скорой медицинской помощи (CDA) Редакция 1";3;"Не обязательны";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"30.04.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4619";"1.2.643.5.1.13.13.15.112.1";"Нет";"Нет";;"Нет"
245;245;504;"Талон к сопроводительному листу станции (отделения) скорой медицинской помощи (CDA) Редакция 1";3;"Не обязательны";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"02.05.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4621";"1.2.643.5.1.13.13.15.113.1";"Нет";"Нет";;"Нет"
40;40;36;"Протокол телемедицинской консультации (CDA) Редакция 1";3;"Не обязательны";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"30.11.2019";;"https://portal.egisz.rosminzdrav.ru/materials/3479";"1.2.643.5.1.13.13.15.15.1";"Нет";"Нет";;"Нет"
